URL,Size (Bytes),Outgoing Links,Content Type
https://www.latimes.com/,615874,274,text/html
https://www.latimes.com/seniorresources/story/2022-04-21/stay-local-and-check-out-three-socal-regional-getaways,218194,130,text/html
https://www.latimes.com/seniorresources/story/2022-04-21/crossword-taking-it-in-stride,214694,124,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/brand-new-days-medicare-options-focus-on-senior-wellness-learning-enrichment,219701,130,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/choosing-a-healthy-smile,214863,130,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/go-out-be-safe-have-fun,214902,130,text/html
https://www.latimes.com/seniorresources/story/2022-04-21/wellness-evolved-care-provider-optum-looks-beyond-pandemic-and-towards-an-advanced-personal-health-model,227957,130,text/html
https://www.latimes.com/seniorresources/story/2021-11-19/memorialcares-extensive-health-system-is-accessible-for-all-of-southern-california,218005,132,text/html
https://www.latimes.com/seniorresources/story/2021-11-19/a-powerful-partnership-providence-southern-california-is-perfectly-paired-with-a-medicare-advantage-plan,218500,130,text/html
https://www.latimes.com/seniorresources/story/2021-11-19/looking-for-a-medicare-advantage-plan-scan-health-plan-is-here-to-help,213490,131,text/html
https://www.latimes.com/seniorresources/story/2021-11-19/women-dont-delay-your-health-screenings,216018,131,text/html
https://www.latimes.com/seniorresources/story/2022-04-21/pets-can-help-keep-you-well-and-you-can-return-the-favor,216717,130,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/staying-healthy-in-a-sometimes-unhealthy-world,216287,131,text/html
https://www.latimes.com/seniorresources/story/2022-04-21/meal-plan-without-a-plan-buy-healthy-ingredients-and-always-be-ready-to-cook,219192,135,text/html
https://www.latimes.com/seniorresources/story/2022-04-21/using-modern-tech-enhanced-equipment-you-can-work-out-conveniently-and-safely,219276,130,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/a-medicare-advantage-plan-for-21st-century-medicine,214588,131,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/rest-relaxation-and-renewal-three-rs-are-a-foundation-for-better-physical-and-mental-health,209302,129,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/care-for-the-whole-person-patients-find-coordinated-care-optums-focus,218655,131,text/html
https://www.latimes.com/seniorresources/story/2022-04-21/dental-implants-can-have-a-huge-impact-for-glenn-and-debbie-they-were-a-dream-come-true,221871,131,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/end-of-life-issues-are-difficult-enough-legal-representation-ensures-they-arent-worse,209019,129,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/stretch-4-simple-movement-improvers,204828,129,text/html
https://www.latimes.com/seniorresources/story/2021-11-19/california-health-experts-recommend-all-adults-receive-a-covid-19-vaccine-booster,215470,130,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/you-time-is-imperative-whether-its-about-relaxation-or-for-your-health,217372,130,text/html
https://www.latimes.com/seniorresources/story/2022-04-22/the-doctor-will-see-you-now-in-your-own-home,216165,131,text/html
https://www.latimes.com/seniorresources/story/2021-11-19/full-coverage-for-a-5-star-2022-medicare-plan-start-with-kaiser-permanente,218029,131,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/memorialcare-a-local-health-system-offers-a-helping-hand-with-medicare-questions-in-real-time,219295,132,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/crossword-back-exercises,215231,124,text/html
https://www.latimes.com/seniorresources/story/2021-11-19/not-all-medicare-plans-are-the-same-brand-new-day-offers-many-options,218219,131,text/html
https://www.latimes.com/seniorresources/story/2021-09-30/need-to-monitor-steps-sleep-cycles-or-diet-theres-an-app-for-that,213155,130,text/html
https://www.latimes.com/seniorresources/story/2021-11-19/quickly-decipher-the-often-confusing-alphabet-of-medicare,218236,131,text/html
https://www.latimes.com/seniorresources/story/2022-04-21/services-home-how-to-choose-feel-safe-and-make-a-connection,217956,132,text/html
https://www.latimes.com/subscriptions/subscribe.html?int_source=marketing_content&int_medium=fs&int_campaign=lafa22,44803,24,text/html
https://www.latimes.com/people/david-viramontes,184218,130,text/html
https://www.latimes.com/people/kasia-broussalian,222487,132,text/html
https://www.latimes.com/people/susana-sanchez,167860,125,text/html
https://www.latimes.com/people/alex-horvath,167658,125,text/html
https://www.latimes.com/people/christopher-knight,223995,137,text/html
https://www.latimes.com/socal/daily-pilot/people/sarah-mosqueda,194436,82,text/html
https://www.latimes.com/socal/daily-pilot/people/ben-brazil/,191631,81,text/html
